fcid,name,coach
1,Sao Tome,Hakeem Fields
2,Cook Islands,Kareem Russell
3,Iceland,Dante Meyer
4,Belarus,Aladdin Bernard
5,Cape Verde,Caryn Frederick
6,Guinea-Bissau,Rogan Cleveland
7,Panama,Aimee Carrillo
8,Cameroon,Charde Jefferson
9,Swaziland,Tarik Tate
10,Tonga,Aristotle Clayton
11,Gibraltar,Rajah Glass
12,Panama,Ariel Henderson
13,Ukraine,Bo Jones
14,Iran,Nina Williams
15,Moldova,Isaiah Juarez
16,Saint Helena,Tyrone Finch
17,British Indian,Daria Dejesus
18,Kazakhstan,Ethan Vazquez
19,Egypt,Elliott Sears
20,Finland,Tanisha Guthrie
